
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[4] : -Dwrapper.key=EaX2-JuLc-qXpbZH
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[8] : -Dwrapper.pid=23383
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[13] : -Dwrapper.jvmid=2
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[14] : com.mgarcia.NetworkShield
INFO   | jvm 2    | 2017/02/07 17:49:39 | [main] INFO NetworkShield - Starting NetworkShield
INFO   | jvm 2    | 2017/02/07 17:49:39 | java.io.FileNotFoundException: ns.conf (No such file or directory)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at java.io.FileInputStream.open0(Native Method)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at java.io.FileInputStream.open(FileInputStream.java:195)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at java.io.FileInputStream.<init>(FileInputStream.java:93)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at java.io.FileReader.<init>(FileReader.java:58)
INFO   | jvm 2    | 2017/02/07 17:49:39 | 	at com.mgarcia.NetworkShield.main(NetworkShield.java:43)
INFO   | jvm 2    | 2017/02/07 17:49:39 | [main] ERROR NetworkShield - ns.conf (No such file or directory)
ERROR  | wrapper  | 2017/02/07 17:49:39 | JVM exited while loading the application.
STATUS | wrapper  | 2017/02/07 17:49:44 | INT trapped.  Shutting down.
STATUS | wrapper  | 2017/02/07 17:49:44 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/07 17:50:16 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/02/07 17:50:16 | Java Service Wrapper Community Edition 64-bit 3.5.30
STATUS | wrapper  | 2017/02/07 17:50:16 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/07 17:50:16 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/07 17:50:16 | 
STATUS | wrapper  | 2017/02/07 17:50:16 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:50:16 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[4] : -Dwrapper.key=uRjZ3XUYJOHWu2eK
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[8] : -Dwrapper.pid=23426
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[13] : -Dwrapper.jvmid=1
INFO   | wrapper  | 2017/02/07 17:50:16 |   Command[14] : com.mgarcia.NetworkShield
INFO   | jvm 1    | 2017/02/07 17:50:16 | [main] INFO NetworkShield - Starting NetworkShield
ERROR  | wrapper  | 2017/02/07 17:50:16 | JVM exited while loading the application.
INFO   | jvm 1    | 2017/02/07 17:50:16 | java.io.FileNotFoundException: ns.conf (No such file or directory)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at java.io.FileInputStream.open0(Native Method)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at java.io.FileInputStream.open(FileInputStream.java:195)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at java.io.FileInputStream.<init>(FileInputStream.java:93)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at java.io.FileReader.<init>(FileReader.java:58)
INFO   | jvm 1    | 2017/02/07 17:50:16 | 	at com.mgarcia.NetworkShield.main(NetworkShield.java:43)
INFO   | jvm 1    | 2017/02/07 17:50:16 | [main] ERROR NetworkShield - ns.conf (No such file or directory)
STATUS | wrapper  | 2017/02/07 17:50:17 | INT trapped.  Shutting down.
STATUS | wrapper  | 2017/02/07 17:50:17 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/07 17:50:24 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/02/07 17:50:24 | Java Service Wrapper Community Edition 64-bit 3.5.30
STATUS | wrapper  | 2017/02/07 17:50:24 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/07 17:50:24 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/07 17:50:24 | 
STATUS | wrapper  | 2017/02/07 17:50:24 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:50:24 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[4] : -Dwrapper.key=m8K1xINj9ZfJcsFV
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[8] : -Dwrapper.pid=23446
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[13] : -Dwrapper.jvmid=1
INFO   | wrapper  | 2017/02/07 17:50:24 |   Command[14] : com.mgarcia.NetworkShield
INFO   | jvm 1    | 2017/02/07 17:50:24 | [main] INFO NetworkShield - Starting NetworkShield
ERROR  | wrapper  | 2017/02/07 17:50:24 | JVM exited while loading the application.
INFO   | jvm 1    | 2017/02/07 17:50:24 | java.io.FileNotFoundException: ns.conf (No such file or directory)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at java.io.FileInputStream.open0(Native Method)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at java.io.FileInputStream.open(FileInputStream.java:195)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at java.io.FileInputStream.<init>(FileInputStream.java:93)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at java.io.FileReader.<init>(FileReader.java:58)
INFO   | jvm 1    | 2017/02/07 17:50:24 | 	at com.mgarcia.NetworkShield.main(NetworkShield.java:43)
INFO   | jvm 1    | 2017/02/07 17:50:24 | [main] ERROR NetworkShield - ns.conf (No such file or directory)
STATUS | wrapper  | 2017/02/07 17:50:26 | INT trapped.  Shutting down.
STATUS | wrapper  | 2017/02/07 17:50:26 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/07 17:50:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/02/07 17:50:50 | Java Service Wrapper Community Edition 64-bit 3.5.30
STATUS | wrapper  | 2017/02/07 17:50:50 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/07 17:50:50 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/07 17:50:50 | 
STATUS | wrapper  | 2017/02/07 17:50:51 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:50:51 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[3] : ../lib/wrapper.jar:../lib/classes/ns.conf
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[4] : -Dwrapper.key=Go6SQra_Ca-XEjXm
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[8] : -Dwrapper.pid=23507
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[13] : -Dwrapper.jvmid=1
INFO   | wrapper  | 2017/02/07 17:50:51 |   Command[14] : com.mgarcia.NetworkShield
ERROR  | wrapper  | 2017/02/07 17:50:51 | JVM exited while loading the application.
INFO   | jvm 1    | 2017/02/07 17:50:51 | Error: Could not find or load main class com.mgarcia.NetworkShield
STATUS | wrapper  | 2017/02/07 17:50:55 | INT trapped.  Shutting down.
STATUS | wrapper  | 2017/02/07 17:50:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/07 17:51:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/02/07 17:51:07 | Java Service Wrapper Community Edition 64-bit 3.5.30
STATUS | wrapper  | 2017/02/07 17:51:07 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/07 17:51:07 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/07 17:51:07 | 
STATUS | wrapper  | 2017/02/07 17:51:07 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:51:07 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[3] : ../lib/wrapper.jar:../lib/classes/ns.conf:../lib/classes
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[4] : -Dwrapper.key=LpfhHHiui59arGhF
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[8] : -Dwrapper.pid=23532
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:51:07 |   Command[10] : -Dwrapper.native_library=wrapper
